Record_ID,Auction_ID,Bidder_ID,Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
1,732,_***i,0.2,0.4,0,0.0000277778,0,0.993592814,0.0000277778,0.666666667,5,0
2,732,g***r,0.024390244,0.2,0,0.0131226852,0,0.993592814,0.0131226852,0.944444444,5,0
3,732,t***p,0.142857143,0.2,0,0.0030416667,0,0.993592814,0.0030416667,1,5,0
4,732,7***n,0.1,0.2,0,0.0974768519,0,0.993592814,0.0974768519,1,5,0
5,900,z***z,0.051282051,0.222222222,0,0.0013177910,0,0,0.0012417328,0.5,7,0
8,900,i***e,0.038461538,0.111111111,0,0.0168435847,0,0,0.0168435847,0.8,7,0
10,900,m***p,0.4,0.222222222,0,0.0067807540,0,0,0.0067741402,0.75,7,0
12,900,k***a,0.137931034,0.444444444,1,0.7680439815,0,0,0.0163111772,1,7,1
13,2370,g***r,0.12195122,0.185185185,1,0.0350214947,0.333333333,0.993528095,0.0239632937,0.944444444,7,1
27,600,e***t,0.155172414,0.346153846,0.5,0.5709937169,0.307692308,0.993592814,0.4137880291,0.611111111,7,1
37,2172,o***u,0.6,0.5625,1,0.4576306217,0,0,0.4574735450,0.6,7,1
38,1370,7***3,0.5,0.105263158,0,0.0286921296,0.052631579,0,0.0286541005,0.666666667,7,0
39,1370,i***r,0.017241379,0.052631579,0,0.0576554233,0.052631579,0,0.0576554233,0,7,0
40,2236,i***i,0.041322314,0.208333333,1,0.2860449735,0.25,0,0.2860251323,0.818181818,7,1
43,2236,_***r,0.142857143,0.041666667,0,0.3873478836,0.25,0,0.3873478836,0,7,0
44,2236,e***e,0.007246377,0.041666667,0,0.5474272487,0.25,0,0.5474272487,0,7,0
45,2236,a***n,0.01,0.041666667,0,0.5892857143,0.25,0,0.5892857143,0,7,0
46,2236,t***s,0.025641026,0.041666667,0,0.9126388889,0.25,0,0.9126388889,0,7,0
